,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,flask-admin,pallets-eco/flask-admin,miscellaneous,https://github.com/pallets-eco/flask-admin,https://github.com/pallets-eco/flask-admin,BSD-3-Clause,2012-03-18 23:21:57,2026-02-11 23:32:16,2026-02-11 23:32:14,3687,69.0,1593,148,1297,111,1376,6055,2025-11-11 21:59:34,2.0.2,569.0,4.0,28,Simple and extensible administrative interface framework for Flask.,33086,33086,386,34,True,1
1,sqladmin,aminalaee/sqladmin,miscellaneous,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-02-10 12:41:53,2026-02-10 12:41:52,412,19.0,265,16,499,74,217,2655,2026-02-04 08:17:02,0.23.0,,,44,SQLAlchemy Admin for FastAPI and Starlette.,1816,1816,84,26,True,2
2,starlette-admin,jowilf/starlette-admin,miscellaneous,https://github.com/jowilf/starlette-admin,https://github.com/jowilf/starlette-admin,MIT,2022-08-29 15:22:50,2026-02-09 23:23:56,2026-01-13 04:51:19,519,4.0,85,13,405,76,164,979,2025-12-13 21:49:18,0.16.0,,,56,"Fast, beautiful and extensible administrative interface framework for Starlette & FastApi applications.",1081,1081,29,23,True,3
3,fastapi-admin,fastapi-admin/fastapi-admin,miscellaneous,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406,,451,44,51,59,73,3705,2021-08-31 03:28:51,1.0.3,,,16,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",508,508,19,21,True,3
