,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id
0,flask-admin,pallets-eco/flask-admin,miscellaneous,https://github.com/pallets-eco/flask-admin,https://github.com/pallets-eco/flask-admin,BSD-3-Clause,2012-03-18 23:21:57,2026-04-09 09:34:30,2026-04-09 09:34:28,3734,84.0,1594,147,1354,100,1394,6058,2025-11-11 21:59:34,2.0.2,573.0,3.0,28,Simple and extensible administrative interface framework for Flask.,33135,33135,387,34,True,1,
1,sqladmin,aminalaee/sqladmin,miscellaneous,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-04-05 23:05:06,2026-03-31 08:43:51,420,16.0,269,15,515,74,225,2700,2026-03-30 12:54:40,0.24.0,,,45,SQLAlchemy Admin for FastAPI and Starlette.,1842,1842,87,26,True,2,smithyhq/sqladmin
2,starlette-admin,jowilf/starlette-admin,miscellaneous,https://github.com/jowilf/starlette-admin,https://github.com/jowilf/starlette-admin,MIT,2022-08-29 15:22:50,2026-04-06 16:36:11,2026-03-07 07:00:59,522,4.0,86,12,411,77,167,983,2025-12-13 21:49:18,0.16.0,,,56,"Fast, beautiful and extensible administrative interface framework for Starlette & FastApi applications.",1090,1090,30,23,True,3,
3,fastapi-admin,fastapi-admin/fastapi-admin,miscellaneous,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406,,453,44,51,60,73,3750,2021-08-31 03:28:51,1.0.3,,,16,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",511,511,19,21,True,3,
