,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id
0,flask-admin,pallets-eco/flask-admin,miscellaneous,https://github.com/pallets-eco/flask-admin,https://github.com/pallets-eco/flask-admin,BSD-3-Clause,2012-03-18 23:21:57,2026-04-22 07:22:19,2026-04-22 07:22:17,3752,68.0,1596,147,1376,99,1395,6056,2025-11-11 21:59:34,2.0.2,609.0,4.0,28,Simple and extensible administrative interface framework for Flask.,33145,33145,388,34,True,1,
1,sqladmin,aminalaee/sqladmin,miscellaneous,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-04-19 16:54:13,2026-04-18 01:24:18,435,31.0,275,15,521,60,241,2712,2026-04-18 01:25:21,0.25.0,,,46,SQLAlchemy Admin for FastAPI and Starlette.,1850,1850,94,26,True,2,smithyhq/sqladmin
2,starlette-admin,jowilf/starlette-admin,miscellaneous,https://github.com/jowilf/starlette-admin,https://github.com/jowilf/starlette-admin,MIT,2022-08-29 15:22:50,2026-04-20 16:34:21,2026-04-15 06:17:37,524,5.0,90,12,417,76,169,989,2025-12-13 21:49:18,0.16.0,,,56,"Fast, beautiful and extensible administrative interface framework for Starlette & FastApi applications.",1093,1093,31,23,True,3,
3,fastapi-admin,fastapi-admin/fastapi-admin,miscellaneous,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406,,456,44,51,60,73,3757,2021-08-31 03:28:51,1.0.3,,,16,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",511,511,19,21,True,3,
