,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing
0,flask-admin,pallets-eco/flask-admin,miscellaneous,https://github.com/pallets-eco/flask-admin,https://github.com/pallets-eco/flask-admin,BSD-3-Clause,2012-03-18 23:21:57,2026-03-04 14:09:07,2026-03-04 14:09:07,3718,90.0,1592,147,1332,103,1385,6060,2025-11-11 21:59:34,2.0.2,572.0,4.0,28,Simple and extensible administrative interface framework for Flask.,33114,33114,386,34,True,1
1,sqladmin,aminalaee/sqladmin,miscellaneous,https://github.com/aminalaee/sqladmin,https://github.com/aminalaee/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-03-02 08:31:06,2026-03-02 08:29:59,413,14.0,265,16,505,79,217,2680,2026-02-04 08:17:02,0.23.0,,,44,SQLAlchemy Admin for FastAPI and Starlette.,1824,1824,84,26,True,2
2,starlette-admin,jowilf/starlette-admin,miscellaneous,https://github.com/jowilf/starlette-admin,https://github.com/jowilf/starlette-admin,MIT,2022-08-29 15:22:50,2026-03-09 16:36:57,2026-03-07 07:00:59,522,5.0,86,13,410,77,167,985,2025-12-13 21:49:18,0.16.0,,,56,"Fast, beautiful and extensible administrative interface framework for Starlette & FastApi applications.",1085,1085,30,23,True,3
3,fastapi-admin,fastapi-admin/fastapi-admin,miscellaneous,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406,,452,44,51,60,73,3729,2021-08-31 03:28:51,1.0.3,,,16,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",510,510,19,21,True,3
