,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id
0,flask-admin,pallets-eco/flask-admin,miscellaneous,https://github.com/pallets-eco/flask-admin,https://github.com/pallets-eco/flask-admin,BSD-3-Clause,2012-03-18 23:21:57,2026-04-30 07:45:45,2026-04-30 05:56:35,3756,72.0,1595,147,1382,98,1397,6057,2026-04-28 09:03:09,2.1.0,617.0,4.0,29,Simple and extensible administrative interface framework for Flask.,33148,33148,388,34,True,1,
1,sqladmin,aminalaee/sqladmin,miscellaneous,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-04-29 14:33:12,2026-04-29 14:33:12,436,32.0,276,15,523,60,242,2717,2026-04-18 01:25:21,0.25.0,,,46,SQLAlchemy Admin for FastAPI and Starlette.,1853,1853,95,26,True,2,smithyhq/sqladmin
2,starlette-admin,jowilf/starlette-admin,miscellaneous,https://github.com/jowilf/starlette-admin,https://github.com/jowilf/starlette-admin,MIT,2022-08-29 15:22:50,2026-04-27 16:37:10,2026-04-15 06:17:37,524,5.0,92,12,419,78,169,987,2025-12-13 21:49:18,0.16.0,,,56,"Fast, beautiful and extensible administrative interface framework for Starlette & FastApi applications.",1093,1093,31,23,True,3,
3,fastapi-admin,fastapi-admin/fastapi-admin,miscellaneous,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406,,457,44,51,60,73,3758,2021-08-31 03:28:51,1.0.3,,,16,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",511,511,19,21,True,3,
