,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id
0,flask-admin,pallets-eco/flask-admin,miscellaneous,https://github.com/pallets-eco/flask-admin,https://github.com/pallets-eco/flask-admin,BSD-3-Clause,2012-03-18 23:21:57,2026-06-15 01:43:49,2026-06-14 13:24:20,3781,59.0,1601,148,1409,84,1419,6071,2026-05-07 09:18:24,2.2.0,646.0,4.0,30,Simple and extensible administrative interface framework for Flask.,33172,33172,390,34,True,1,
1,sqladmin,aminalaee/sqladmin,miscellaneous,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-06-08 11:17:59,2026-06-08 11:14:58,463,50.0,284,14,552,54,255,2752,2026-06-08 11:17:34,0.27.2,,,51,SQLAlchemy Admin for FastAPI and Starlette.,1876,1876,99,27,True,2,smithyhq/sqladmin
2,starlette-admin,jowilf/starlette-admin,miscellaneous,https://github.com/jowilf/starlette-admin,https://github.com/jowilf/starlette-admin,MIT,2022-08-29 15:22:50,2026-06-15 16:36:00,2026-06-08 04:54:42,535,13.0,91,13,443,77,170,993,2026-06-06 20:10:17,0.16.1,,,57,"Fast, beautiful and extensible administrative interface framework for Starlette & FastApi applications.",1098,1098,32,24,True,3,
3,fastapi-admin,fastapi-admin/fastapi-admin,miscellaneous,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406,,459,44,51,61,73,3790,2021-08-31 03:28:51,1.0.3,,,16,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",512,512,19,21,False,3,
