,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
0,flask-admin,pallets-eco/flask-admin,miscellaneous,https://github.com/pallets-eco/flask-admin,https://github.com/pallets-eco/flask-admin,BSD-3-Clause,2012-03-18 23:21:57,2026-06-01 22:43:06,2026-05-29 21:35:07,3780,62.0,1601,148,1405,80,1419,6092,2026-05-07 09:18:24,2.2.0,642.0,4.0,30,Simple and extensible administrative interface framework for Flask.,33165,33165,389,34,True,1,,
1,sqladmin,aminalaee/sqladmin,miscellaneous,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-06-03 13:23:02,2026-06-03 13:20:56,454,41.0,282,13,542,61,248,2741,2026-05-29 19:39:37,0.27.0,,,49,SQLAlchemy Admin for FastAPI and Starlette.,1868,1868,98,26,True,2,smithyhq/sqladmin,
2,starlette-admin,jowilf/starlette-admin,miscellaneous,https://github.com/jowilf/starlette-admin,https://github.com/jowilf/starlette-admin,MIT,2022-08-29 15:22:50,2026-06-01 16:37:59,2026-04-15 06:17:37,524,3.0,92,12,436,77,170,992,2025-12-13 21:49:18,0.16.0,,,56,"Fast, beautiful and extensible administrative interface framework for Starlette & FastApi applications.",1098,1098,31,22,True,3,,-1.0
3,fastapi-admin,fastapi-admin/fastapi-admin,miscellaneous,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406,,459,44,51,61,73,3786,2021-08-31 03:28:51,1.0.3,,,16,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",512,512,19,21,False,3,,
