,name,github_id,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id
0,flask-admin,pallets-eco/flask-admin,miscellaneous,https://github.com/pallets-eco/flask-admin,https://github.com/pallets-eco/flask-admin,BSD-3-Clause,2012-03-18 23:21:57,2026-05-20 22:44:52,2026-05-20 21:56:43,3773,84.0,1595,147,1393,97,1400,6059,2026-05-07 09:18:24,2.2.0,630.0,4.0,30,Simple and extensible administrative interface framework for Flask.,33159,33159,388,34,True,1,
1,sqladmin,aminalaee/sqladmin,miscellaneous,https://github.com/smithyhq/sqladmin,https://github.com/smithyhq/sqladmin,BSD-3-Clause,2021-12-22 10:09:54,2026-05-18 09:48:45,2026-05-18 09:48:40,444,32.0,278,14,532,63,244,2730,2026-05-18 09:44:40,0.26.0,,,48,SQLAlchemy Admin for FastAPI and Starlette.,1861,1861,95,26,True,2,smithyhq/sqladmin
2,starlette-admin,jowilf/starlette-admin,miscellaneous,https://github.com/jowilf/starlette-admin,https://github.com/jowilf/starlette-admin,MIT,2022-08-29 15:22:50,2026-05-18 16:36:57,2026-04-15 06:17:37,524,5.0,93,12,435,77,170,988,2025-12-13 21:49:18,0.16.0,,,56,"Fast, beautiful and extensible administrative interface framework for Starlette & FastApi applications.",1097,1097,31,23,True,3,
3,fastapi-admin,fastapi-admin/fastapi-admin,miscellaneous,https://github.com/fastapi-admin/fastapi-admin,https://github.com/fastapi-admin/fastapi-admin,Apache-2.0,2020-04-06 05:09:44,2025-04-05 06:11:16,2025-04-05 06:11:16,406,,458,44,51,61,73,3775,2021-08-31 03:28:51,1.0.3,,,16,"A fast admin dashboard based on FastAPI and TortoiseORM with tabler ui, inspired by Django admin.",511,511,19,21,False,3,
